name,credits,prereqs,coursenum,offeredin,description,department
"Special Topics",4,null,FRE495,null,,
"Independent Study",4,null,FRE499,null,,
"Beginning German I",4,null,GER111,null,"Aims at developing basic skills. Classroom practice in speaking, understanding, and reading and writing basic German.Goals: ability to read extended narratives in simple German, insights into German culture, and participation in shortconversations.",
"Beginning German II",4,null,GER112,null,"Aims at developing basic skills. Classroom practice in speaking, understanding, and reading and writing basic German.Goals: ability to read extended narratives in simple German, insights into German culture, and participation in shortconversations.",
Internship,4,null,GER199,null,,
"Intermediate German I",4,null,GER211,null,"Aims at developing basic skills into working knowledge of German. Review of basic structures with emphasis onextending range of vocabulary and idiomatic expression through reading and discussion of materials representingcontemporary German life and literature.",
"Intermediate German II",4,null,GER212,null,"Aims at developing basic skills into working knowledge of German. Review of basic structures with emphasis onextending range of vocabulary and idiomatic expression through reading and discussion of materials representingcontemporary German life and literature.",
Topics,4,null,GER295,null,,
"Directed Study",4,null,GER299,null,,
"German Conversation and Composition",4,null,GER311,null,"Aims at developing facility in the use of grammatical structures, vocabulary, and idiomatic expressions most common incolloquial German. Intensive practice in speaking is supplemented with exercises in written composition.",
"German Civilization and Culture I",4,null,GER331,null,"Follows the cultural and social development of the German-speaking peoples from the prehistorical Indo-Europeanorigins (ca. 3,000 B.C.) to the Thirty Years War (1648). In German.",
"German Civilization and Culture II",4,null,GER332,null,"Survey of cultural currents that have shaped Germany, Austria, and Switzerland since the Age of Enlightenment. Thecontemporary scene is considered in view of its roots in the intellectual, geopolitical, artistic, and scientific history of theGerman-speaking peoples. In German.",
"Survey of German Literature I",4,null,GER351,null,"The prose, epic, and poetry readings in this course chronicle the German experience from Charlemagne to Napoleon;from Luther to Kant; from Hildegard of Bingen to Goethe, Schiller, and the Romantics; and offer a way to relive theRenaissance, the Reformation, and the Enlightenment.",
"Survey of German Literature II",4,null,GER354,null,"The literary, cultural, and scientific background of the new millennium has many German-speaking roots in the works offigures like Marx, Freud, Nietzsche, Einstein, Kafka, Rilke, Hesse, and Brecht. Selected readings of prose, poetry, andplays bring alive the drama and conflicts that characterized the birth of the modern age.",
Internship,4,null,GER399,null,,
"Advanced German Conversation and Composition",4,null,GER411,null,"Aims at developing and refining the studentï¿½s use of German as a vehicle for expressing ideas and opinions. Emphasis onwritten composition including control of style. Oral practice through use of German as classroom language.",
Topics,4,null,GER495,null,,
"Independent Study",4,null,GER499,null,,
"Beginning New Testament Greek I",4,null,GRK113,null,"The first course in a two-semester sequence of New Testament Greek. Students will be introduced to the syntax,grammar, and vocabulary of New Testament Greek with the goal of reading proficiency.",
"Beginning New Testament Greek II",4,null,GRK114,null,"The second course in a two-semester sequence of New Testament Greek. Students will be introduced to the syntax,grammar, and vocabulary of New Testament Greek with the goal of reading proficiency.",
"Augsburg Experience Internship",0,null,GST009,null,"A transcript notation is given for the academic learning inherent in an approved not-for-credit/internship/workexperience. Reflection activities and work-learning evaluations are conducted by the Center for Service, Work, andLearning. With approval, a non-credit/internship completed by juniors or seniors will fulfill the Augsburg Experiencegraduation requirement.",
"Critical Thinking",4,null,GST100,null,"Designed to develop critical thinking skills, this course strengthens the ability of students to comprehend, analyze,synthesize, and evaluate ideas and arguments. New students with fewer than 28 semester credits in transfer are placedinto GST 100 based on their past academic record. Students must pass GST 100 with a minimum grade of C- or better.Students waived from this course may take this class only with permission of the instructor.",
"AVID Elective",2,null,GST108,null,,
"Integrated Studies",4,null,GST140,null,"This course is designed to help students improve the skills important to academic success. Study strategies (criticalthinking, motivation, time management, textbook reading, note-taking) are embedded into content-rich subject matterto optimize learning. Emphasis is placed on combining leaning/study skills with the content to enhance application toother courses and contexts. This course may not be taken by students who have completed 28 credits.",
Topics,2,null,GST195,null,,
"Quantitative Reasoning/Statistical Literacy",4,null,GST200,null,"This course focuses on critical thinking about statistics and its use as evidence in arguments, with an emphasis oninterpretation, evaluation, communication, and analysis of statistically-based arguments. Topics include association,causation, observational studies, experiments, risk, confounding, bias and chance. Common techniques involvingstatistical opportunism, conditional reasoning using English to describe and compare rates and percentages presented intables and graphs, and the use of standardization to take into account the influence of confounders are reviewed.Emphasis is on interpretation, evaluation, communication, and analysis of statistically-based arguments.",
"Black Music",4,null,GST219,null,,
Topics,4,null,GST295,null,,
"Augsburg Experience Work Connections Semimar",0,null,GST309,null,,
"Mayo Innovation Scholars Program",2,null,GST458,null,"Students in this course evaluate the potential market and applications for a new medical device under development atthe Mayo Clinic and present their findings and recommendations to Mayos Ventures Department in Rochester,Minnesota. This course is intended for students accepted into the Mayo Innovation Scholars Program. The program runsfrom October to March; students may register in either fall or spring semester. Applications are due inSeptember/October. Contact the Biology or Economics departments for details.",
"The Beginning of Western Culture",4,null,HIS101,null,"An analysis of the primary civilizations in the Near East, the classical world of Greece and Rome, and the Middle Ages ofEurope into the 13th century.",
"The Shaping of Western Civilization",4,null,HIS102,null,"A consideration of European institutions and values from the waning of the Middle Ages through the remodeling ofEurope by Napoleon.",
"The Modern World",4,null,HIS103,null,"A study of the main currents in Western civilization from the time of Napoleon to the present.",
"Decolonizing Asia and Africa",4,null,HIS104,null,"An introduction to various centers of cultural and political power in Asia and Africa of the last 200 years.",
"America to 1815",4,null,HIS120,null,"A survey of the relations between Native, European, and African peoples from first contacts to the War of 1812, drawingon social, cultural, and environmental history as well as political and economic history. The course will move topically aswell as chronologically through the colonial and early national period. Themes include the legacies of massive ecologicaland demographic change, the colonial competition for North America, Indian-white conflict and collusion, theenslavement of African Americans, the creation of the United States, and internal as well as foreign conflicts in thatnationï¿½s early years.",
"19th-Century United States",4,null,HIS121,null,"A survey of United States history from 1815-1900, drawing on social, cultural, and environmental history as well aspolitical and economic history. The course will move topically as well as chronologically through the years in which theUnited States came to prominence despite internal dissent and violence. Themes include the emergence of a nationalidentity, political system, and economy, slavery, expansion, and empire-building, regional differences, the Civil War andits aftermath, and industrialization.",
"20th-Century United States",4,null,HIS122,null,"A survey of United States history from 1900 to the present, drawing on social, cultural, and environmental history aswell as political and economic history. The course will move topically as well as chronologically through the modern era.Themes include industrialization and urbanization, the significance of gender, race, and ethnicity in American culture,the growth of a strong federal government, the emergence of the United States as a world power, the creation of aconsumer society, the rise of identity politics, and the passing of American hegemony.",
"Topics in World History",4,null,HIS140,null,,
"Latin American History",4,null,HIS150,null,"This course examines the histories of Mexico, Central America, and the Caribbean from the 1790s to the 1990s.Centering our analysis in the Latin American experience, we will examine cultural trends, social interactions, andeconomic development as well as the relations that each of these regions shared with the United States. Specialattention will be paid to independence movements, neocolonialism, dependency and underdevelopment, ecologicaltransformations, the Latino/a diaspora, and the struggles of indigenous communities.",
"Cultural Conflict and Change in Latin America",4,null,HIS155,null,"An exploration of selected topics and case studies from Latin American history with special emphasis on the role ofwomen in history. Focuses on the development of gender, class-based, and racial/ethnic oppression and the history ofresistance and social change in Latin America from the conquest to the present day. Examines the Pre-Columbian period,the conquest and colonial periods, and concludes with the post-war period in Central America.",
"Modern South Asia",4,null,HIS162,null,"This course explores the processes of indigenous political fragmentation, colonialism, nationalism, de-colonization, andindependence in the area now politically known as India, Pakistan, and Bangladesh.",
"Food: A Global History",4,null,HIS170,null,"This course explores the human and historical dimensions of food. The cultivation and control of food supplies is a basicfunction of all organized societies and polities. Shared food traditions and tastes shape cultural identities of particulargroups. In short, food is at the center of human existence, and human history can be told as a story of how food hasbeen produced, distributed and consumed. Taking a broad approach, the course traces changes in taste, production,trade and consumption, from the Paleolithic period to the twentieth century. With case studies drawn from China, SouthAsia, Europe, and the Americas, it offers a global narrative of world food history. Students will learn about thefascinating histories certain key foodstuffs (e.g. sugar, wheat, chocolate, potatoes, bugs, etc.) and examine a number ofcritical themes, including consumerism, taste, industrialism, famine, and dieting. Learning will be enhanced byexperiential components, including cooking, gardening, and visiting lectures. The course will introduce the concepts ofhistorical thinking, using the ï¿½IGRASPï¿½ methodology (Inquire / Gather / Reflect / Analyze / Synthesize / Present.)",
"Topics in History",4,null,HIS195,null,"An introduction to selected historical topics not regularly offered in lower division classes. The specific topics to beoffered will be announced prior to registration.",
Internship,4,null,HIS199,null,,
"History of the Twin Cities",4,null,HIS225,null,"The Minneapolis and St. Paul area serves as a case study for the themes of frontier urbanization, industrialization, andeconomic change; transportation, immigration, and ethnicity; and urban politics and reform.",
"Minnesota History",4,null,HIS234,null,"This course examines the racial, ethnic, political, and economic history of Minnesota, from the earliest inhabitants(Ojibwe and Dakota), through the period of British and French exploration, and to the development of statehood.",
"American Indian History",4,null,HIS236,null,"A study of the native people of North America from the pre-Columbian period through European exploration andsettlement to the present, emphasizing American Indian contributions to world culture, tribal structure, andintergovernmental relations.",
"Topics in African American History",4,null,HIS241,null,"Selected topics in African American history not regularly examined in other departmental offerings. The specific topics tobe offered will be announced prior to registration.",
"History of African American Civil Rights, 1619-1915",4,null,HIS242,null,"A survey of the development of African American civil rights focusing on legal, economic, and political issues influencedby race and class, emphasizing emancipation and integration of slaves and former slaves.",
"History of African American Civil Rights, 1915-1972",4,null,HIS243,null,"A continuation of HIS 242 with special emphasis on the contributions of W.E.B. DuBois, Marcus Garvey, A. Philip Randall,Charles Houston, Thurgood Marshall, and Martin Luther King, Jr.",
"The Designed Environment",4,null,HIS249,null,"This course addresses the designed environment, investigating architecture, landscape architecture, and urban design.Class sessions consist almost exclusively of extensive walking tours and site visits to prominent examples of designexcellence.",
"The History Workshop",4,null,HIS280,null,"This course introduces history majors and minors to the historianï¿½s craft. Students will examine the development of thediscipline of history, the methods of analysis used by professional historians today, and the varieties of applications forhistory in professional careers and public life. Students will also gain and sharpen the research and writing skills criticalto their success in upper-level history courses. Guest speakers and off-campus site visits will enhance course content.",
"The History of Women Since 1848",4,null,HIS282,null,"This course examines in comparative perspective womenï¿½s changing political, economic, social, and sexual status sincethe 19th century, with attention given to social, racial, and ethnic, and sexual differences among women.",
"Directed Study",4,null,HIS299,null,,
"Public History",4,null,HIS300,null,"Public history is the practice of historical methods with non-academic audience in mind. This survey explores thecomponents of public history, many of its venues, and pressing issues in the field through examination of a range oftopics (including, but not limited to): local history, historical memory, archives, exhibits, oral histories, documentaries,publishing, museums, historic sites, and historic preservation.",
"Topics in Womens History",4,null,HIS311,null,"Exploration of selected topics in womenï¿½s history not regularly examined in other departmental offerings. The specifictopic to be offered will be announced prior to registration.",
"Nature, Cities, and Justice: U.S. Urban Environmental History",4,null,HIS316,null,"This seminar-style course engages in a chronological exploration of the nineteenth- and twentieth-century interactionsbetween Americans and the nonhuman world in cities and suburbs. Topics covered include the commodification ofnature, the death of the organic city, political movements organized around nature, ways of knowing nature,environmental justice, environmental health and the human body, and the relationships shared by American culturewith nature.",
"Modern China",4,null,HIS323,null,"A selective treatment of Chinese history since the Opium War of 1839; the erosion of Chinaï¿½s isolation and collapse ofthe imperial system; and the Nationalist and Communist revolutions of the 20th century.",
"Racism and Resistance in Southern Africa and the United States",4,null,HIS327,null,"This course explores historical parallels of the development in southern Africa and in the United States, strategies ofresistance, the successes and limitations of political victories over apartheid and racism, and the lingering economic,social, political, and psychological effects of racism.",
"Topics in United States History",4,null,HIS331,null,"In-depth exploration of selected topics in United States history not regularly examined in other departmental offerings.The specific topics to be offered will be announced prior to registration.",
"History of United States Foreign Relations",4,null,HIS332,null,"A survey of United States foreign relations from the American Revolution through the Cold War, emphasizing changingdefinitions of war and peace, tensions between internationalism and isolationism, and the emergence of the UnitedStates as an economic and military power.",
"American Urban History",4,null,HIS335,null,"A study of urban development from colonial and frontier beginnings through the age of industrialization to the present,including the dynamics of urban growth and planning, politics and reform, and the growth of urban culture.",
"American Labor History",4,null,HIS336,null,"A survey of the history of work and the worker, primarily in the late 19th and 20th centuries, emphasizing the nature ofwork, working class life and community, evaluation of organized labor, and the relationship of workers and union to thestate.",
"American Legal History",4,null,HIS338,null,"An examination of the social, economic, and intellectual factors in American history that, combined with English andcolonial antecedents, contributed to the emergence of our modern legal system.",
"Empires and Borderlands in North America",4,null,HIS343,null,"This course explores race, ethnicity, gender, politics, the histories of Indigenous people, the contest of European powers,the American conquest of the continent, ecological transformations, the emergence of a regional West, and U.S. borderswith Mexico, Canada, and the Pacific World.",
"Namibia and South Africa: A Historical Perspective",4,null,HIS346,null,"A survey of Namibia and South Africa including the experience of indigenous peoples, the impact of South Africanoccupation, the war for independence, and the roots of apartheid and its institutionalization.",
"Russia and the Soviet Union in the 20th Century",4,null,HIS348,null,"An introductory historical survey of the Soviet Union, beginning with a brief examination of Russian history beforeturning to the Russian Revolutions of 1917, the rise of Stalin, the Cold War, and the emergence of Gorbachev. Thecourse will emphasize political, diplomatic, economic, and cultural history.",
"The Designed Environment",4,null,HIS349,null,"This course addresses the designed environment, investigating architecture, landscape architecture, and urban design.Class sessions consist almost exclusively of extensive walking tours and site visits to prominent examples of designexcellence.",
"Latin American History",4,null,HIS350,null,"This course examines the histories of Mexico, Central America, and the Caribbean from the 1790s to the 1990s.Centering our analysis in the Latin American experience, we will examine cultural trends, social interactions, andeconomic development as well as the relations that each of these regions shared with the United States. Specialattention will be paid to independence movements, neocolonialism, dependency and underdevelopment, ecologicaltransformations, the Latino/a diaspora, and the struggles of indigenous communities.",
"The Holocaust in German History",4,null,HIS352,null,"This course explores the development of modern Germany from its unification in 1871 through the aftermath of WorldWar II, focusing on the Third Reich and the Holocaust. Through diverse course materials (memoirs, film, posters, etc.),students will analyze the National Socialist regime and the horrors it wrought, and explore the experiences of ï¿½ordinaryGermans,ï¿½ including women, children, Jews and other minority groups.",
"Modern Britain and Ireland",4,null,HIS354,null,"This course will take a distinctively interdisciplinary approach (sources will include literature, film, music, and artwork) toexplore a period of dramatic change in British politics, society, culture, and international status.",
"Cultural Conflict and Change in Latin America",4,null,HIS355,null,"An exploration of selected topics and case studies from Latin American history with special emphasis on the role ofwomen in history. Focuses on the development of gender, class-based, and racial/ethnic oppression and the history ofresistance and social change in Latin America from the conquest to the present day. Examines the Pre-Columbian period,the conquest and colonial periods, and concludes with the post-war period in Central America.",
"Mexican History, Culture, and Cosmovision",4,null,HIS357,null,"An exploration of Latin American history from Pre-Columbian times through the conquest and colonial periods up tomodern Latin America. The course will use a gendered lens to focus on Mexican history, culture and cosmovision.",
"Ancient Egypt and Classical Greece",4,null,HIS360,null,"This course examines the history of ancient Egypt and classical Greece from c. 3200 to 323 BC, and uses a variety ofwritten and visual sources in an attempt to understand these societies. In addition to the ï¿½traditionalï¿½ political narrative,it also looks at social, economic, and cultural aspects of life in antiquity.",
"Hellenistic Greece and Rome",4,null,HIS361,null,"This course examines the history of Hellenistic Greece and Rome from c. 800 BC to 476 AD, and uses a variety of writtenand visual sources in an attempt to understand these societies. In addition to the ï¿½traditionalï¿½ political narrative, it alsolooks at social, economic, and cultural aspects of life in antiquity.",
"The Early and High Middle Ages",4,null,HIS369,null,"This course examines the history of Europe and the Mediterranean from c. 300 to 1350 AD, and uses a variety of writtenand visual sources in an attempt to understand medieval society. In addition to the ï¿½traditionalï¿½ political narrative, italso looks at social, economic, and cultural aspects of medieval life.",
"The Late Middle Ages to 1648",4,null,HIS370,null,"This course examines the history of Europe from c. 1300 BC to 1648 AD, and uses a variety of written and visual sourcesin an attempt to understand late medieval society. In addition to the ï¿½traditionalï¿½ political narrative, it also looks atsocial, economic, and cultural aspects of life in this period.",
"Medieval Crusades",4,null,HIS374,null,"This course examines Western Europeï¿½s crusading era (1095-1291 AD), a time when warriors from the Christian Westattempted to ï¿½take backï¿½ the Holy Land from its Muslim occupiers. Through a close reading of primary sources, we willexamine such issues as pilgrimage, holy war, and the complex relationships between East and West, between Muslimsand Christians. We will pay particular attention to the question of historical representation.",
"The Medieval Church",4,null,HIS378,null,"This course examines the history of the medieval church from Constantine the Great to Martin Luther (c. 300 to c. 1517AD). It uses a variety of written and visual sources in an attempt to understand the medieval church and its influence,not only in religious matters, but also in the social and political spheres. Cross-listed with REL378.",
Internship,2,null,HIS397,null,,
Internship,2,null,HIS398,null,,
Internship,4,null,HIS399,null,,
"Topics in World History",4,null,HIS440,null,"This course will investigate topics in world history that are not included in regular course offerings. The specific topics tobe offered will be announced prior to registration.",
"Modern South Asia",4,null,HIS462,null,"This course explores the processes of indigenous political fragmentation, colonialism, nationalism, de-colonization, andindependence in the area now politically known as India, Pakistan, and Bangladesh. Upper division students will haveadditional assignments and different exams from lower division.",
"Modern Middle East",4,null,HIS468,null,"This course, intended for upper-level undergraduates, is an introduction to the modern history of the region of NorthAfrica and West Asia between the Atlantic Ocean and Central Asia ï¿½ commonly known as the Middle East ï¿½ from the late18th century until the present.",
"World and the West",4,null,HIS474,null,"Europeï¿½s discovery of the rest of the world, cultural interaction and conflict, the building of European empires in Asiaand the Americas, and the breakdown of these imperial systems at the end of the 18th century.",
"History Senior Seminar",4,null,HIS480,null,"This course is required for the major, and enrollment is normally restricted to students who have nearly finished theircoursework. Selected topics will be announced prior to registration.",
"ACTC Museum Fellows Program",4,null,HIS497,null,"This semester-long course examines the museum field and the challenges museums face regarding race and diversity. Itincludes a museum study trip to meet with various professionals at the nations leading museums. The fall course isfollowed in the spring by a one-semester, paid external internship. Students are placed with external partners whoidentify as museums or cultural institutions.",
"Independent Study",2,null,HIS498,null,,
"Independent Study",4,null,HIS499,null,,
"Religion, Vocation, and the Search for Meaning I",4,null,HON100,null,"Honors section of REL100. Some students (e.g., some science majors) may need to defer the course and take HON100 inanother term.",
"Effective Writing for Liberating Letters",4,null,HON111,null,"This course takes a problem-based, process-oriented approach to expository writing. Attention is given to choosing,organizing, and developing topics; thinking critically; reading closely; and revising carefully for clarity and style. Theminimum passing grade is C-.",
"The Scholar Citizen",4,null,HON120,null,"An introduction to the Honors Program. Course content focuses on great primary texts focusing on the connectionsbetween learning and citizenship, or the public uses of knowledge (e.g. Platoï¿½s cave). Concurrent registration inHON120L is required. (Includes theater lab)",
"Liberating Letters: Humanist Tradition",4,null,HON130,null,"Interdisciplinary humanities survey course that explores the Western tradition of letters through significant texts andmodern context. Students stage courtroom trials where great authors, characters, or ideas are challenged and tested.Based on the medieval liberal arts trivium of grammar, rhetoric, and logic. This course is linked with HON 111 and bothcourses share texts, assignments, and some class sessions. Students are strongly encouraged to register for both coursesin the same term.",
"Religion, Vocation, and the Search for Meaning II",4,null,HON200,null,"Honors version of REL 200. See REL 200 for content and requirements.",
"The Scholar Scientist",4,null,HON220,null,"Inspired by the medieval quadrivium (arithmetic, geometry, astronomy, music), this course addresses systems ofquantitative thought, including logic, computing, and formal systems.",
"Intermediate Expository Writing",4,null,HON221,null,"This course builds on the practices and methods of Effective Writing. Its workshop format stresses style andorganization, the process of revision, self and peer evaluation, and the relationship between reading and writing.",
"Arts and the City",4,null,HON230,null,"Interdisciplinary fine arts course where students attend museums, galleries, concerts, plays, and other significant artsevents while researching and writing critical and historical critiques of central theories and approaches to the fine arts.",
"Science, Technology, and Citizenship",4,null,HON240,null,"Multidisciplinary/interdisciplinary lab science course. Physics, biology, and chemistry are used to critically examine a keynational or global issue. Concurrent registration in HON240L is required.",
"The Social Scientist",4,null,HON250,null,"Problem-based/question-based course in social sciences involving at least two social science disciplines and severalfaculty.",
"Augsburg Honors Review: Research Thesis Requirement",0,null,HON260,null,"Students in the fall semester of HON 260 practice and complete a structured process for collecting,synthesizing,applying, and documenting research and academic writing. Students should take this course in conjunction with anothercourse within which they will produce a research-based paper. A final research paper is required to complete 260.Students also solicit and evaluate manuscripts for the Honors Review (0.0 credit, P/N only) .Students in the springsemester of HON 260 edit and publish the Honors Review, a national journal for undergraduate scholarship that residesat Augsburg University. Students will evaluate and select potential articles for the journal, shepherd those manuscriptsthrough an external review process by faculty referees, and publish the journal by the end of the term. This course willassist students in developing evaluative, copy-editing, layout, and publication design skills (0.0 credit, P/N only).",
"Junior Colloquium: The Scholar as Leader",0,null,HON340,null,"Taught by the dean and/or president of the University, this seminar explores themes of leadership and service in thepublic context. (0.0 credit; P/N)",
"Student Created Learning Experience",0,null,HON375,null,"This course will only be used for student created learning experiences that fulfill the Recreational Wellness requirement.",
"Student Created Learning Experience",1,null,HON380,null,"May take many forms as determined by the student and faculty creating the learning experience (may be 1, 2 or 4credits, and may use traditional or P/N grading options).",
"Augsburg Honors Review: Research Thesis Requirement",0,null,HON450,null,"Students in the fall semester of HON 450 practice and complete a structured process for collecting,synthesizing,applying, and documenting research and academic writing. Students should take this course in conjunction with anothercourse within which they will produce a research-based paper. A final research paper is required to complete 450.Students also solicit and evaluate manuscripts for the Honors Review (0.0 credit, P/N only) .Students in the springsemester of HON 450 edit and publish the Honors Review, a national journal for undergraduate scholarship that residesat Augsburg University. Students will evaluate and select potential articles for the journal, shepherd those manuscriptsthrough an external review process by faculty referees, and publish the journal by the end of the term. This course willassist students in developing evaluative, copy-editing, layout, and publication design skills (0.0 credit, P/N only).",
"Student/Faculty Collaboration: Research Thesis Requirement",0,null,HON470,null,"Students register for this course to fulfill the honors research requirement through a student/faculty researchcollaboration. (0.0 credit, P/N only)",
"Honors Senior Seminar",4,null,HON490,null,"This course integrates and synthesizes themes from all four years of the Honors Program. It also expands upon thethemes of HON 120 by studying primary texts related to philosophy, rhetoric, vocation, and meaning.",
Topics,4,null,HON495,null,,
"Independent Study",4,null,HON499,null,,
"Components of Fitness Training",4,null,HPE104,null,"This course implements a performance-based approach designed to enable the student to become well educated instrength and cardiovascular training. The proficiencies will address the specifics of knowledge and performance infitness training. This course will implement optimal research based theories for improving aerobic and muscular strengthfor the purpose of designing an individualized strength and aerobic conditioning program. (Fall)",
"Personal and Community Health",4,null,HPE110,null,"Concepts and practices of health and healthful living applied to the individual and the community.",
"Health and Safety Education",2,null,HPE114,null,"Principles and practices of safety education in school and community life. National Safety Council First Aid and CPRcertification. (Fall, Spring)",
"Chemical Dependency Education",2,null,HPE115,null,"An analysis of chemical use and abuse and what can be done for the abuser. Includes information about school healtheducation and services. (Fall, spring)",
Internship,4,null,HPE199,null,,
"Introduction to Health, Physical Education, and Exercise Science",2,null,HPE205,null,"An introduction to the professional field of health, physical education, and exercise science. Includes history, currenttrends, and professional opportunities related to health, human performance, and wellness. Students also will examinethe components of a balanced, healthy lifestyle. (Fall, Spring)",
"Health and Exercise Psychology",4,null,HPE215,null,"Study of the impact of psychological, behavioral, social, and biological interactions on exercise and health. Specificphysiological and psychological benefits associated with exercise are addressed along with health promotion,intervention, and adherence. (Spring)",
"Motor Learning and Development",2,null,HPE220,null,"The study of the processes associated with developing motor skills and performance, and how this relates to motordevelopment. (Spring)",
"Introduction to Developmental/Adapted Physical Education",2,null,HPE254,null,"A general overview of developmental/adapted physical education from early childhood through grade 12. The role ofschool-based health and physical education programs for students with disabilities will be addressed. Fieldworkexperience is a requirement in this course. (Fall)",
"Prevention and Care of Athletic Injuries",2,null,HPE275,null,"Emphasis placed on preventing and treating common athletic injuries. Practical experience in taping and training roomprocedures. A lab accompanies this course. Concurrent registration in HPE275L is required.(Spring)",
"Coaching Theory",2,null,HPE280,null,"Theory, philosophy, organization, and supervision of coaching. Includes psychology of sport and how psychologicalfactors affect participation in sport. (Fall)",
"Directed Study",4,null,HPE299,null,,
"Nutrition for Exercise Science",4,null,HPE300,null,"This course provides an integrated overview of the physiological requirements, food sources, and functions ofcarbohydrates, fats, protein, vitamins, and minerals and their impact on health and performance. Students will evaluateand design nutritional regimens to support optimal athletic performance, ultimately examining nutritional supplements,ergogenic aids, and anabolic steroids and the safety and efficacy of legal and banned substances. (Spring)",
"Advanced Fitness Training",4,null,HPE304,null,"This course is designed to examine and apply advanced personal training research. Participants will be exposed toestablished training methods for developing advanced workouts as well as a variety of breakthrough exercises that mayresult in fitness improvements. Ultimately, the student will create and optimize aspects of different training phases in ayear-round program design. In addition, the content of this course is focused toward the knowledge and skills requiredfor the NSCA Certified Strength and Conditioning Specialist (CSCS) exam.",
"Stress Management",2,null,HPE305,null,"This course introduces students to concepts related to stress and stress management. Along with the study of the role ofstress in dysfunction of the human body, individual assessments and reflection are used to assist students in developinga greater understanding of the role of stress in their life. Individual stress management plans will be constructed. (Fall)",
"Exercise Testing and Prescription",2,null,HPE315,null,"This is a course in exercise testing and prescription relative to the cardiopulmonary system. The course is designed toprovide the student with an understanding of the physiological and pathophysiological responses of the body to clinicalexercise testing and to develop a basis for the exercise prescription in health and disease. The content of this course isfocused toward the knowledge and skills required for taking the ACSM Certified Health Fitness Specialist (HFS) exam.",
"Human Sexuality",4,null,HPE316,null,"A study of the psychological, social, and biological components of human sexuality. (Spring)",
"School Health Curriculum",2,null,HPE320,null,"Techniques for developing a course of study in school health based upon growth and development for grades K-12.Examination of national standards and pedagogy for health education, curriculum, and assessment included. (Fall evenyears)",
"K-6 PE Games and Activities",2,null,HPE324,null,"This course integrates theory and practice in teaching age- and skill-appropriate activities to elementary students.Fieldwork experience is a requirement in this course. (Spring)",
"7-12 Sport Skills and Activities",2,null,HPE334,null,"Theory and practice in skills and teaching selected games and activities. Fieldwork experience is a requirement in thiscourse. (Fall)",
"Outdoor Education",2,null,HPE335,null,"A course designed to provide knowledge and develop skills in a variety of outdoor educational activities and to study thenatural environment in which these activities occur. The course will include a three-day camping/hiking trip. Fieldworkexperience is a requirement in this course. (Fall even years, spring even years)",
"Trekking the Mountains: An Outdoor Cultural Excursion",4,null,HPE336,null,"A course designed for a multifaceted exploration of mountainous regions of the world, while developing the outdoortrekking experience. This eleven-day trip will include immersion, as well as trekking in beautiful and less traveled regionsof the country. While trekking, one is provided opportunity for leadership and personal growth and development, as weshare leadership and logistrics for the excursion.",
"Organization and Administration of Physical Education Programs",2,null,HPE340,null,"A survey of management, leadership, and decision making for physical education and athletic programs. (Fall)",
Kinesiology,4,null,HPE350,null,"A study of the mechanics of movement with an emphasis on the use of the muscular system. An analytic approach tothe study of movement and how it relates within the physical education and health fitness fields. A lab accompanies thiscourse. Concurrent registration in HPE350L is required.",
"Physiology of Exercise",4,null,HPE351,null,"The major effects of exercise on the systems of the body and physiological principles applied to exercise programs andmotor training. A lab accompanies this course. Concurrent registration in HPE351L is required.",
"Measurement in Health, Physical Education, and Exercise Science",2,null,HPE357,null,"Concepts of statistics and the use of statistical procedures in health and physical education programs. Topics includedescriptive statistics, probability, estimation, ANOVA, correlation, Chi-Square, and nonparametric methods. (Fall)",
"Assessment in Health and Physical Education",2,null,HPE358,null,"Standards, assessment, and evaluation of tests in health and physical education. (Fall)",
"Physical Education Methods K-6",4,null,HPE365,null,"Procedures, materials, and issues for teaching physical education in grades K-6. An in-depth view of all aspects ofteaching physical education to elementary-aged children. Fieldwork experience is a requirement in this course. (Fall)",
"Physical Education Methods 7-12",4,null,HPE368,null,"Procedures, materials, and issues involved in teaching physical education in secondary schools. An in-depth view of allaspects of teaching physical education to secondary-aged students. Fieldwork experience is a requirement in this course.(Spring)",
"Instructional Methods and Materials in Health Education",4,null,HPE390,null,"Principles and methods of instruction applied to health education grades K-12. Emphasis on teaching/learning strategiesand student assessment. Evaluation and development of materials included. Fieldwork experience is a requirement inthis course. (Spring)",
Internship,4,null,HPE396,null,,
Internship,2,null,HPE397,null,,
Internship,2,null,HPE398,null,,
Internship,4,null,HPE399,null,,
"Administration and Supervision of the School Health Program",2,null,HPE410,null,"Historical background, legal basis, and school health services relationship to community and school health programs andresources.",
"Current Health Issues",2,null,HPE450,null,"This course uses critical thinking skills to examine current health issues in text and media from a sociological, political,economic, and medical perspective.",
"Advanced Biomechanics",2,null,HPE452,null,"This course will introduce students to advanced biomechanical analysis of sports movement and injury with an emphasison the use of the musculoskeletal system. Movement kinematics and kinetics will be described using Dartfish motionanalysis software and applied to physical education and health and fitness professions; particularly in terms of sportsmovement technique, common sports injury mechanisms, and injury prevention.",
"Physical Education Curriculum",2,null,HPE473,null,"Techniques for developing a course of study in physical education based upon growth and development for grades K-12.Examination of National Standards and pedagogy for physical education, curriculum, and assessment included.",
